datetime='2015-07-14 14:04:44',E004='27',E009='[algumas semanas]',E014='[muitas semanas]',E018='-1',E021='36',E023='16',E025='10',E028='2',E029='9',E034='17',E039='8',E044='9',E045='3',E047='20',E058='21',E067='12-15',E073='13',E079='17',E085='14',E100='26',E102='11',E106='2',E114='11',E120='6',E124='5'
datetime='2015-07-14 14:15:27',E001='9',E008='[muitas semanas]',E013='[algumas semanas]',E020='13',E026='4',E027='7',E036='4',E037='2',E046='27',E048='14',E055='22',E065='32',E066='11',E070='6',E077='6',E084='8',E090='29',E092='12',E098='5',E099='28',E105='3',E112='5',E118='5',E123='3',E125='3'
datetime='2015-07-14 14:46:52',E004='28',E009=' [alguns anos]',E014='[muitos meses]',E018='14',E021='39',E023='5',E025='12',E028='3',E029='4',E034='13',E039='5',E044='11',E045='5',E047='25',E058='34',E067='4',E073='5',E079='17',E085='9',E100='30',E102='6',E106='3',E114='2',E120='2',E124='3'
datetime='2015-07-14 14:58:33',E004='20',E009='[alguns dias]',E014='[alguns meses]',E018='14',E021='40',E023='6',E025='10',E028='3',E029='7',E034='11',E039='10-12',E044='9',E045='2',E047='20',E058='32',E067='3',E073='6',E079='17',E085='10',E100='30',E102='6',E106='2',E114='2',E120='2',E124='2'
datetime='2015-07-14 15:05:58',E007='[alguns dias]',E012='[alguns dias]',E033='4',E038='3',E040='3',E051='27',E057='26',E060='10',E062='14',E063='4',E064='11',E072='35',E074='6',E082='7',E086='23',E087='2',E089='12',E094='14',E095='5',E097='28',E101='11',E104='5',E110='10-12',E111='4',E122='4'
datetime='2015-07-14 15:22:49',E003='15',E006='[algumas semanas]',E011='[muitos dias]',E016='[alguns meses]',E019='6',E022='40',E032='4',E035='26',E041='3',E042='25',E050='15',E053='9',E056='10',E061='15',E071='6',E076='10',E078='7',E081='61-65',E083='4',E088='13',E093='5',E109='10-12',E116='6',E117='7',E121='3'
datetime='2015-07-14 15:23:00',E004='30',E009='[alguns dias]',E014='[alguns meses]',E018='14',E021='35',E023='9',E025='11',E028='3',E029='16-20',E034='11',E039='10-12',E044='9',E045='4',E047='27',E058='35',E067='5',E073='6',E079='19',E085='10',E100='28',E102='8',E106='6',E114='3',E120='3',E124='3'
datetime='2015-07-14 15:49:37',E004='30',E009='[algumas semanas]',E014='[alguns meses]',E018='14',E021='35',E023='10',E025='10',E028='4',E029='3',E034='12',E039='8',E044='9',E045='2',E047='25',E058='33',E067='10',E073='5',E079='19',E085='9',E100='28',E102='6',E106='3',E114='4',E120='4',E124='3'
datetime='2015-07-14 18:12:31',E007='[muitos dias]',E012='[alguns dias]',E033='3',E038='4',E040='2',E051='20',E057='27',E060='5',E062='12',E063='4',E064='10',E072='33',E074='4',E082='8',E086='20',E087='4',E089='14',E094='16',E095='5',E097='30',E101='13',E104='6',E110='10-12',E111='3',E122='6'
datetime='2015-07-14 18:12:53',E007='[muitos dias]',E012='[alguns dias]',E033='3',E038='4',E040='2',E051='20',E057='27',E060='5',E062='12',E063='4',E064='10',E072='33',E074='4',E082='8',E086='20',E087='4',E089='14',E094='16',E095='5',E097='30',E101='13',E104='6',E110='10-12',E111='3',E122='6'
datetime='2015-07-14 18:19:54',E001='9',E008='[algumas semanas]',E013='[alguns meses]',E020='15',E026='4',E027='6',E036='4',E037='4',E046='27',E048='14',E055='21',E065='34',E066='10',E070='6',E077='4',E084='8',E090='27',E092='10',E098='7',E099='27',E105='7',E112='6',E118='9',E123='6',E125='5'
datetime='2015-07-14 18:40:17',E002='30',E005='[muitos meses]',E010='[alguns dias]',E015='[alguns dias]',E017='8',E024='9',E030='12-15',E031='5',E043='23',E049='20',E052='11',E054='5',E059='35',E068='5',E069='8',E075='9',E080='61-65',E091='15',E096='6',E103='14',E107='8',E108='3',E113='5',E115='9',E119='4'
datetime='2015-07-14 18:52:19',E002='27',E005='[alguns meses]',E010='[muitos dias]',E015='[algumas semanas]',E017='8',E024='10',E030='12-15',E031='10',E043='25',E049='20',E052='13',E054='5',E059='32',E068='6',E069='9',E075='9',E080='51-55',E091='18',E096='6',E103='13',E107='4',E108='2',E113='4',E115='7',E119='4'
datetime='2015-07-14 20:15:05',E003='13',E006='[alguns dias]',E011='[alguns dias]',E016='[alguns dias]',E019='8',E022='32',E032='3',E035='25',E041='3',E042='25',E050='30',E053='7',E056='14',E061='11',E071='3',E076='9',E078='12-15',E081='61-65',E083='4',E088='11',E093='5',E109='999',E116='6',E117='3',E121='3'
datetime='2015-07-14 20:17:50',E007='[algumas semanas]',E012='[alguns dias]',E033='3',E038='9',E040='3',E051='20',E057='27',E060='8',E062='13',E063='4',E064='8',E072='35',E074='4',E082='10',E086='19',E087='4',E089='14',E094='15',E095='5',E097='28',E101='11',E104='5',E110='6',E111='5',E122='3'
datetime='2015-07-14 20:42:56',E003='11',E006='[alguns dias]',E011='[alguns dias]',E016='[alguns dias]',E019='6',E022='40',E032='1',E035='26',E041='3',E042='26',E050='22',E053='10',E056='10',E061='15',E071='2',E076='9',E078='5',E081='51-55',E083='2',E088='11',E093='6',E109='6',E116='5',E117='1',E121='2'
datetime='2015-07-14 21:25:24',E002='28',E005='[algumas semanas]',E010='[alguns dias]',E015='[algumas semanas]',E017='8',E024='10',E030='8',E031='4',E043='25',E049='25',E052='12',E054='5',E059='33',E068='3',E069='9',E075='9',E080='31-40',E091='15',E096='6',E103='16',E107='3',E108='2',E113='4',E115='8',E119='2'
datetime='2015-07-14 21:34:47',E007='[algumas semanas]',E012='[alguns dias]',E033='3',E038='4',E040='6',E051='20',E057='30',E060='10',E062='13',E063='6',E064='10',E072='34',E074='4',E082='8',E086='21',E087='2',E089='14',E094='15',E095='5',E097='31',E101='11',E104='15',E110='6',E111='3',E122='5'
datetime='2015-07-14 21:37:01',E003='14',E006='[algumas semanas]',E011='[alguns dias]',E016='[alguns meses]',E019='6',E022='40',E032='16-20',E035='28',E041='3',E042='25',E050='20',E053='12',E056='13',E061='12',E071='10',E076='8',E078='20-25',E081='71-80',E083='4',E088='11',E093='5',E109='5',E116='6',E117='4',E121='3'
datetime='2015-07-14 22:49:38',E003='11',E006='[alguns dias]',E011='[alguns dias]',E016='[alguns dias]',E019='6',E022='36',E032='2',E035='30',E041='4',E042='23',E050='23',E053='7',E056='10',E061='12',E071='4',E076='9',E078='10',E081='56-59',E083='4',E088='11',E093='5',E109='10-12',E116='4',E117='4',E121='2'
datetime='2015-07-14 22:51:21',E001='11',E008='[alguns dias]',E013='[alguns dias]',E020='14',E026='6',E027='7',E036='7',E037='2',E046='28',E048='14',E055='23',E065='34',E066='11',E070='6',E077='5',E084='10',E090='28',E092='16',E098='7',E099='32',E105='7',E112='4',E118='5',E123='3',E125='5'
datetime='2015-07-15 00:02:45',E007='[muitos dias]',E012='[alguns dias]',E033='4',E038='6',E040='3',E051='20',E057='30',E060='6',E062='13',E063='6',E064='8',E072='33',E074='3',E082='9',E086='22',E087='4',E089='12',E094='16',E095='8',E097='25',E101='11',E104='8',E110='999',E111='2',E122='6'
